I0604 00:48:41.027783       1 serving.go:374] Generated self-signed cert (/tmp/apiserver.crt, /tmp/apiserver.key)
I0604 00:48:41.282582       1 handler.go:275] Adding GroupVersion metrics.k8s.io v1beta1 to ResourceManager
I0604 00:48:41.389905       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
I0604 00:48:41.389924       1 shared_informer.go:311] Waiting for caches to sync for RequestHeaderAuthRequestController
I0604 00:48:41.389943       1 secure_serving.go:213] Serving securely on [::]:10250
I0604 00:48:41.389947       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0604 00:48:41.389959       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0604 00:48:41.389970       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
I0604 00:48:41.389973       1 dynamic_serving_content.go:132] "Starting controller" name="serving-cert::/tmp/apiserver.crt::/tmp/apiserver.key"
I0604 00:48:41.389978       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0604 00:48:41.390153       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
E0604 00:48:41.401127       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.25:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.25 because it doesn't contain any IP SANs" node="k8s-worker-2"
E0604 00:48:41.403207       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.24:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.24 because it doesn't contain any IP SANs" node="k8s-worker-1"
E0604 00:48:41.403595       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.21:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.21 because it doesn't contain any IP SANs" node="k8s-master-1"
E0604 00:48:41.419945       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.26:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.26 because it doesn't contain any IP SANs" node="k8s-worker-3"
I0604 00:48:41.490040       1 shared_informer.go:318] Caches are synced for RequestHeaderAuthRequestController
I0604 00:48:41.490108       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0604 00:48:41.490131       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
E0604 00:48:56.405748       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.24:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.24 because it doesn't contain any IP SANs" node="k8s-worker-1"
E0604 00:48:56.411441       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.25:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.25 because it doesn't contain any IP SANs" node="k8s-worker-2"
E0604 00:48:56.412035       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.26:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.26 because it doesn't contain any IP SANs" node="k8s-worker-3"
E0604 00:48:56.419499       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.21:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.21 because it doesn't contain any IP SANs" node="k8s-master-1"
I0604 00:49:05.741477       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0604 00:49:11.389000       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.26:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.26 because it doesn't contain any IP SANs" node="k8s-worker-3"
E0604 00:49:11.414098       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.21:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.21 because it doesn't contain any IP SANs" node="k8s-master-1"
E0604 00:49:11.417264       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.25:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.25 because it doesn't contain any IP SANs" node="k8s-worker-2"
E0604 00:49:11.419069       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.24:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.24 because it doesn't contain any IP SANs" node="k8s-worker-1"
I0604 00:49:15.740624       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
I0604 00:49:25.739971       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0604 00:49:26.404778       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.21:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.21 because it doesn't contain any IP SANs" node="k8s-master-1"
E0604 00:49:26.405762       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.26:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.26 because it doesn't contain any IP SANs" node="k8s-worker-3"
E0604 00:49:26.411353       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.24:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.24 because it doesn't contain any IP SANs" node="k8s-worker-1"
E0604 00:49:26.411695       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.26.25:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.26.25 because it doesn't contain any IP SANs" node="k8s-worker-2"
I0604 00:49:35.738253       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
